t # 15_0
e 8 11 2
e 8 12 2
e 8 13 2
e 8 14 3
e 8 15 2
e 8 16 2
e 8 17 3
e 8 18 3
e 9 0 3
e 9 1 2
e 9 2 2
e 9 3 3
e 9 4 3
e 9 5 3
e 9 6 3
e 9 7 3
e 9 8 3
e 9 10 3
e 9 11 2
e 9 12 2
e 9 13 3
e 9 14 2
e 9 15 3
e 9 16 3
e 9 17 2
e 9 18 2
e 10 0 2
e 10 1 2
e 10 2 2
e 10 3 3
e 10 4 2
e 10 5 2
e 10 6 2
e 10 7 3
e 10 8 3
e 10 9 2
e 10 11 2
e 10 12 3
e 10 13 2
e 10 14 2
e 10 15 3
e 10 16 2
e 10 17 2
e 10 18 3
e 11 0 2
e 11 1 2
e 11 2 3
e 11 3 3
e 11 4 2
e 11 5 3
e 11 6 2
e 11 7 2
e 11 8 3
e 11 9 2
e 11 10 2
e 11 12 2
e 11 13 3
e 11 14 3
e 11 15 2
e 11 16 3
e 11 17 2
e 11 18 3
e 12 0 3
e 12 1 3
e 12 2 3
e 12 3 2
e 12 4 2
e 12 5 2
e 12 6 3
e 12 7 3
e 12 8 2
e 12 9 3
e 12 10 2
e 12 11 3
e 12 13 2
e 12 14 3
e 12 15 3
e 12 16 2
e 12 17 3
e 12 18 3
e 13 0 3
e 13 1 2
e 13 2 3
e 13 3 2
e 13 4 2
e 13 5 2
e 13 6 3
e 13 7 3
e 13 8 3
e 13 9 2
e 13 10 3
e 13 11 2
e 13 12 3
e 13 14 2
e 13 15 2
e 13 16 3
e 13 17 3
e 13 18 2
e 14 0 2
e 14 1 3
e 14 2 2
e 14 3 2
e 14 4 3
e 14 5 2
e 14 6 3
e 14 7 3
e 14 8 3
e 14 9 3
e 14 10 3
e 14 11 2
e 14 12 2
e 14 13 2
e 14 15 3
e 14 16 2
e 14 17 3
e 14 18 2
e 15 0 3
e 15 1 2
e 15 2 3
e 15 3 2
e 15 4 2
e 15 5 2
e 15 6 3
e 15 7 3
e 15 8 2
e 15 9 2
e 15 10 2
e 15 11 2
e 15 12 2
e 15 13 3
e 15 14 2
e 15 16 3
e 15 17 3
e 15 18 2
e 16 0 2
e 16 1 2
e 16 2 2
e 16 3 2
e 16 4 2
e 16 5 3
e 16 6 2
e 16 7 3
e 16 8 2
